"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-03","66","73","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-04","62","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-05","62","73","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-06","62","68","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-07","59","63","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-08","59","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-09","58","64","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-10","59","66","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-11","60","71","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-12","59","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-13","60","73","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-14","62","76","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-15","62","79","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-16","64","75","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-17","65","75","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-18","63","70","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-19","61","70","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-20","62","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-21","62","73","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-22","64","79","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-23","64","70","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-24","63","70","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-25","63","76","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-26","64","70","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-27","62","69","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-28","62","72","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-29","63","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-30","62","74","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-31","63","70","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-01","63","72","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-02","62","67","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-03","62","67","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-04","62","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-05","63","75","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-06","65","77","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-07","67","80","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-08","64","75","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-09","65","75","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-10","65","81","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-11","67","78","62"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-12","66","75","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-13","65","78","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-14","66","74","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-15","67","80","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-16","66","77","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-17","66","75","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-18","68","80","63"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-19","67","77","62"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-20","68","89","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-21","70","75","63"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-22","71","78","64"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-23","70","89","63"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-24","74","82","64"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-25","68","72","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-26","63","69","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-27","63","70","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-28","65","74","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-29","65","76","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-30","70","91","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-08-31","68","76","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-01","65","71","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-02","67","74","63"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-03","67","75","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-04","65","70","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-05","65","75","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-06","64","76","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-07","65","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-08","63","76","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-09","63","74","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-10","62","74","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-11","65","72","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-12","65","74","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-13","64","74","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-14","63","74","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-15","65","73","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-16","66","73","63"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-17","67","75","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-18","67","74","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-19","65","73","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-20","63","73","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-21","64","74","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-22","64","70","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-23","62","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-24","62","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-25","66","77","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-26","70","77","63"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-27","67","76","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-28","65","74","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-09-29","64","70","60"
